Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Joh,Hoe,Sin,Un
1,1,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,NU,Overgrow,,Chlorophyll,6.9,20,1 SpA,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,226,,,
2,2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,NU,Overgrow,,Chlorophyll,13,40,1 SpA/1 SpD,141,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 16,227,,,
3,3,Venusaur,80,82,83,100,100,80,525,Grass,Poison,OU,Overgrow,,Chlorophyll,100,100,2 SpA/1 SpD,208,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 32,228,,,
4,4,Charmander,39,52,43,60,50,65,309,Fire,,NU,Blaze,,Solar Power,8.5,20,1 Spe,65,Red,5120,M (87.5%),Monster,Dragon,45,1059860,,229,,,
5,5,Charmeleon,58,64,58,80,65,80,405,Fire,,NU,Blaze,,Solar Power,19,40,1 SpA/1 Spe,142,Red,,M (87.5%),Monster,Dragon,45,1059860,Lv. 16,230,,,
6,6,Charizard,78,84,78,109,85,100,534,Fire,Flying,UU,Blaze,,Solar Power,90.5,80,3 SpA,209,Red,,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,231,,,
7,7,Squirtle,44,48,65,60,54,43,314,Water,,NU,Torrent,,Rain Dish,9,20,1 Def,66,Blue,5120,M (87.5%),Monster,Water 1,45,1059860,,232,,,
8,8,Wartortle,59,63,80,65,80,58,405,Water,,NU,Torrent,,Rain Dish,22.5,40,1 Def/1 SpD,143,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 16,233,,,
9,9,Blastoise,79,83,100,85,105,78,530,Water,,RU,Torrent,,Rain Dish,85.5,80,3 SpD,210,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 36,234,,,
10,10,Caterpie,45,30,35,20,20,45,195,Bug,,NU,Shield Dust,,Run Away,2.9,20,1 HP,53,Green,3840,Neutral,Bug,,255,1000000,,24,,,
11,11,Metapod,50,20,55,25,25,30,205,Bug,,NU,Shed Skin,,,9.9,20,1 Def,72,Green,,Neutral,Bug,,120,1000000,Lv. 7,25,,,
12,12,Butterfree,60,45,50,80,80,70,385,Bug,Flying,NU,Compoundeyes,,Tinted Lens,32,60,2 SpA/1 SpD,160,White,,Neutral,Bug,,45,1000000,Lv. 10,26,,,
13,13,Weedle,40,35,30,20,20,50,195,Bug,Poison,NU,Shield Dust,,Run Away,3.2,20,1 Spe,52,Brown,3840,Neutral,Bug,,255,1000000,,27,,,
14,14,Kakuna,45,25,50,25,25,35,205,Bug,Poison,NU,Shed Skin,,,10,20,2 Def,71,Yellow,,Neutral,Bug,,120,1000000,Lv. 7,28,,,
15,15,Beedrill,65,80,40,40,80,75,380,Bug,Poison,NU,Swarm,,Sniper,29.5,60,2 Atk/1 SpD,159,Yellow,,Neutral,Bug,,45,1000000,Lv. 10,29,,,
16,16,Pidgey,40,45,40,35,35,56,251,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,1.8,20,1 Spe,55,Brown,3840,Neutral,Flying,,255,1059860,,10,,,
17,17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,30,60,2 Spe,113,Brown,,Neutral,Flying,,120,1059860,Lv. 18,11,,,
18,18,Pidgeot,83,80,75,70,70,91,469,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,39.5,60,3 Spe,172,Brown,,Neutral,Flying,,45,1059860,Lv. 36,12,,,
19,19,Rattata,30,56,35,25,35,72,253,Normal,,NU,Run Away,Guts,Hustle,3.5,20,1 Spe,57,Purple,3840,Neutral,Field,,255,1000000,,17,,,
20,20,Raticate,55,81,60,50,70,97,413,Normal,,NU,Run Away,Guts,Hustle,18.5,40,2 Spe,116,Brown,,Neutral,Field,,127,1000000,Lv. 20,18,,,
21,21,Spearow,40,60,30,31,31,70,262,Normal,Flying,NU,Keen Eye,,Sniper,2,20,1 Spe,58,Brown,3840,Neutral,Flying,,255,1000000,,13,,,
22,22,Fearow,65,90,65,61,61,100,442,Normal,Flying,NU,Keen Eye,,Sniper,38,60,2 Spe,162,Brown,,Neutral,Flying,,90,1000000,Lv. 20,14,,,
23,23,Ekans,30,60,44,40,54,55,283,Poison,,NU,Intimidate,Shed Skin,Unnerve,6.9,20,1 Atk,62,Purple,5120,Neutral,Field,Dragon,255,1000000,,50,,,
24,24,Arbok,60,85,69,65,79,80,438,Poison,,NU,Intimidate,Shed Skin,Unnerve,65,80,2 Atk,147,Purple,,Neutral,Field,Dragon,90,1000000,Lv. 22,51,,,
26,25,Pikachu,35,55,30,50,40,90,300,Electric,,NU,Static,,Lightningrod,6,20,2 Spe,82,Yellow,,Neutral,Field,Fairy,190,1000000,Friendship,22,156,104,
27,26,Raichu,60,90,55,90,80,100,475,Electric,,NU,Static,,Lightningrod,30,60,3 Spe,122,Yellow,,Neutral,Field,Fairy,75,1000000,Thunderstone,23,157,105,
28,27,Sandshrew,50,75,85,20,30,40,300,Ground,,NU,Sand Veil,,Sand Rush,12,40,1 Def,93,Yellow,5120,Neutral,Field,,255,1000000,,48,112,,
29,28,Sandslash,75,100,110,45,55,65,450,Ground,,NU,Sand Veil,,Sand Rush,29.5,60,2 Def,163,Yellow,,Neutral,Field,,90,1000000,Lv. 22,49,113,,
30,29,Nidoran _,55,47,52,40,40,41,275,Poison,,NU,Poison Point,Rivalry,Hustle,7,20,1 HP,59,Blue,5120,F (100%),Monster,Field,235,1059860,,95,,,
31,30,Nidorina,70,62,67,55,55,56,365,Poison,,NU,Poison Point,Rivalry,Hustle,20,40,2 HP,117,Blue,,F (100%),-,,120,1059860,Lv. 16,96,,,
32,31,Nidoqueen,90,82,87,75,85,76,495,Poison,Ground,UU,Poison Point,Rivalry,Sheer Force,60,80,3 HP,194,Blue,,F (100%),-,,45,1059860,Moon Stone,97,,,
33,32,Nidoran _,46,57,40,40,40,50,273,Poison,,NU,Poison Point,Rivalry,Hustle,9,20,1 Atk,60,Purple,5120,M (100%),Monster,Field,235,1059860,,98,,,
34,33,Nidorino,61,72,57,55,55,65,365,Poison,,NU,Poison Point,Rivalry,Hustle,19.5,40,2 Atk,118,Purple,,M (100%),Monster,Field,120,1059860,Lv. 16,99,,,
35,34,Nidoking,81,92,77,85,75,85,495,Poison,Ground,UU,Poison Point,Rivalry,Sheer Force,62,80,3 Atk,195,Purple,,M (100%),Monster,Field,45,1059860,Moon Stone,100,,,
37,35,Clefairy,70,45,48,60,65,35,323,Normal,,NU,Cute Charm,Magic Guard,Friend Guard,7.5,20,2 HP,68,Pink,,F (75%),Fairy,,150,800000,Friendship,41,,100,
38,36,Clefable,95,70,73,85,90,60,473,Normal,,RU,Cute Charm,Magic Guard,Unaware,40,60,3 HP,129,Pink,,F (75%),Fairy,,25,800000,Moon Stone,42,,101,
39,37,Vulpix,38,41,40,50,65,65,299,Fire,,UU,Flash Fire,,Drought,9.9,20,1 Spe,63,Brown,5120,F (75%),Field,,190,1000000,,125,153,,
